produkt_id,produkt_namn,uppskattad_vikt_kg,fraktklass,basfrakt_sek
1,"Levis",0.80,"Jeans",79.00
2,"Napapijri",1.50,"Jacka",119.00
3,"Obey",0.70,"Hoodie",89.00
4,"Nike Air Force",1.30,"Skor",99.00
5,"Supreme",0.30,"T-shirt",59.00
6,"Replay",0.85,"Jeans",79.00
7,"Tiffany and Co",0.10,"Accessoar",49.00
8,"Adidas Samba",1.20,"Skor",99.00
9,"Carhartt Beanie",0.15,"Accessoar",49.00
10,"Svart T-shirt",0.25,"T-shirt",59.00
11,"Zara Jeans",0.75,"Jeans",79.00
12,"Diesel Denim",0.90,"Jeans",79.00
13,"North Face Jacket",1.80,"Jacka",119.00
14,"Moncler Jacket",1.60,"Jacka",119.00
15,"Champion Hoodie",0.75,"Hoodie",89.00
16,"Essentials Hoodie",0.90,"Hoodie",89.00
17,"Nike Dunk",1.25,"Skor",99.00
18,"Jordan 4 Retro",1.50,"Skor",99.00
19,"Palm Angels T-shirt",0.30,"T-shirt",59.00
20,"Nike T-shirt",0.25,"T-shirt",59.00
21,"Gucci Belt",0.20,"Accessoar",49.00
22,"RayBan Sunglasses",0.15,"Accessoar",49.00
23,"Levis 501",0.85,"Jeans",79.00
24,"Puffer Jacket",1.40,"Jacka",119.00
25,"Adidas Hoodie",0.70,"Hoodie",89.00
26,"New Balance 550",1.35,"Skor",99.00
27,"Stussy T-shirt",0.30,"T-shirt",59.00
28,"Prada Cap",0.15,"Accessoar",49.00
29,"Tommy Hilfiger Jeans",0.80,"Jeans",79.00
30,"Varsity Jacket",1.70,"Jacka",119.00
